,CLASS_MODELO_1,CLASS_MODELO_2,CLASS_MODELO_3,CLASS_MODELO_4,CLASS_MODELO_5,CLASS_MODELO_6,CLASS_MODELO_7
0,p,e,e,p,p,e,e
1,e,e,e,e,e,e,e
2,p,p,p,p,p,p,p
3,e,e,e,e,e,e,e
4,p,p,p,p,p,p,p
5,p,p,p,p,p,p,p
6,p,p,p,p,p,p,p
7,e,e,e,e,e,e,e
8,e,e,e,e,e,e,e
9,e,e,e,e,p,e,e
10,p,p,p,p,p,p,p
11,p,p,p,p,p,p,p
12,p,e,e,e,e,e,e
13,e,e,e,e,e,e,e
14,e,e,e,e,e,e,e
15,e,e,e,e,e,e,e
16,e,e,e,e,e,e,e
17,e,e,e,e,p,e,e
18,e,e,e,e,e,e,e
19,e,e,e,e,e,e,e
20,e,e,e,e,e,e,e
21,p,p,p,p,e,p,p
22,p,p,p,p,p,p,p
23,e,e,e,e,e,e,e
24,p,p,p,p,p,p,p
25,p,p,p,p,p,p,p
26,p,p,p,p,p,p,p
27,e,e,e,e,e,e,e
28,e,e,e,e,e,e,e
29,e,e,e,e,e,e,e
30,p,p,p,p,p,p,p
31,p,p,p,p,p,p,p
32,e,e,e,e,e,e,e
33,e,e,e,e,e,e,e
34,e,e,e,p,e,e,e
35,e,e,e,e,e,e,e
36,p,p,p,p,p,p,p
37,e,e,e,e,e,e,e
38,e,e,e,e,e,e,e
39,e,e,e,e,e,e,e
40,p,e,e,e,e,e,e
41,p,p,p,p,p,p,p
42,p,p,p,p,p,p,p
43,e,e,e,e,e,e,e
44,p,p,p,p,p,p,p
45,e,e,e,e,e,e,e
46,p,p,p,p,p,p,p
47,e,e,e,e,e,e,e
48,e,p,p,p,p,p,p
49,p,e,e,e,e,e,e
50,p,p,p,p,p,p,p
51,e,e,e,e,e,e,e
52,p,p,p,p,p,p,p
53,e,e,e,e,e,e,e
54,p,p,p,p,p,p,p
55,e,e,e,e,e,e,e
56,e,e,e,e,e,e,e
57,p,p,p,p,p,p,p
58,e,e,e,e,e,e,e
59,e,e,e,e,e,e,e
60,p,p,p,p,p,p,p
61,p,p,p,p,p,p,p
62,e,e,e,e,e,e,e
63,p,p,p,p,p,p,p
64,p,p,p,p,p,p,p
65,p,p,p,p,p,p,p
66,e,e,e,e,e,e,e
67,p,p,p,p,p,p,p
68,p,p,p,p,p,p,p
69,p,p,p,p,e,p,p
70,p,p,p,p,p,p,p
71,p,p,p,p,p,p,p
72,p,p,p,p,p,p,p
73,p,p,p,p,p,p,p
74,e,e,e,e,e,e,e
75,p,p,p,p,p,p,p
76,p,p,p,p,p,p,p
77,p,p,p,p,p,p,p
78,p,p,p,p,p,p,p
79,p,p,p,p,p,p,p
80,p,p,p,p,p,p,p
81,p,p,p,p,p,p,p
82,e,e,e,e,e,e,e
83,e,e,e,e,e,e,e
84,e,p,p,p,e,p,p
85,e,e,e,e,e,e,e
86,e,e,e,e,p,e,e
87,p,e,e,e,e,e,e
88,p,p,p,e,p,p,p
89,p,p,p,p,p,p,p
90,e,e,e,e,e,e,e
91,e,e,e,e,e,e,e
92,e,e,e,e,e,e,e
93,p,p,p,p,p,p,p
94,p,p,p,p,p,p,p
95,e,e,e,e,e,e,e
96,p,e,e,e,p,e,e
97,e,e,e,e,e,e,e
98,p,p,p,p,p,p,p
99,p,e,e,e,e,e,e
100,p,p,p,p,p,p,p
101,p,e,e,e,e,e,e
102,e,e,e,e,e,e,e
103,p,p,p,p,p,p,p
104,p,p,p,p,p,p,p
105,p,p,p,p,p,p,p
106,p,e,e,e,e,e,e
107,p,p,p,p,p,p,p
108,p,p,p,p,p,p,p
109,p,p,p,p,e,p,p
110,p,p,p,p,p,p,p
111,p,p,p,p,p,p,p
